accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature
0.314,-2.436,9.623000000000001,0.011,-0.038,0.0029999999999999983,34.635000000000005
0.335,-1.051,10.011,-0.045,-0.05700000000000001,0.028000000000000004,34.648
0.33199999999999996,-1.8739999999999999,9.768,0.077,-0.045,-0.019,34.654999999999994
0.33,-1.053,10.039,-0.008,-0.049,0.011,34.664
0.34,-0.9477777777777777,10.041111111111112,-0.011111111111111112,-0.04888888888888889,0.012222222222222223,34.67777777777778
-1.566,-0.7910000000000001,9.415000000000001,0.0020000000000000005,-0.073,0.015999999999999997,34.925
-0.5050000000000001,0.332,9.878,0.009999999999999998,-0.026000000000000002,0.024,34.932
-0.08099999999999999,0.639,10.056999999999999,-0.014000000000000002,-0.045,0.013000000000000001,34.938
0.0019999999999999996,0.646,10.007,-0.012,-0.047,0.012,34.936
0.014000000000000002,0.694,10.004999999999999,-0.005,-0.046,0.015000000000000003,34.94
0.07999999999999999,0.721,9.972,-0.069,-0.028000000000000004,0.036,34.944
-2.0816681711721684e-18,0.47000000000000003,10.048,-0.01,-0.046,0.01,34.943
0.044,0.45999999999999996,10.026,-0.01,-0.049,0.012,34.934
0.041,0.45,10.007,-0.011,-0.05,0.013000000000000001,34.938
0.073,0.475,10.03,-0.006,-0.05600000000000001,0.001,34.934999999999995
0.077,0.43,10.065000000000001,-0.006,-0.048,0.02,34.927
0.057999999999999996,0.434,10.035,-0.008,-0.048,0.01,34.92
0.066,0.445,10.048,-0.01,-0.048,0.011,34.903
0.05500000000000001,0.433,10.032,-0.012,-0.049,0.012,34.897
0.078,0.434,10.038,-0.008,-0.048,0.014000000000000002,34.896
0.077,0.45,10.053999999999998,-0.01,-0.048,0.013000000000000001,34.893
0.068,0.433,10.028,-0.008,-0.049,0.012,34.878
0.065,0.472,10.009,-0.009,-0.051000000000000004,0.011,34.870999999999995
0.05900000000000001,0.442,10.019,-0.008,-0.053000000000000005,0.012,34.856
0.032999999999999995,0.528,10.072,-0.005,-0.049,0.014000000000000002,34.858
0.05,0.488,10.049,-0.005,-0.048,0.011,34.848
0.051000000000000004,0.485,10.045,-0.007000000000000001,-0.051000000000000004,0.015,34.843
0.047,0.485,10.050999999999998,-0.009,-0.049,0.011,34.843
0.044,0.491,10.004999999999999,-0.01,-0.05,0.011,34.836
0.055999999999999994,0.48,10.040000000000001,-0.01,-0.049,0.012,34.825
0.039,0.485,10.040000000000001,-0.01,-0.049,0.01,34.811
0.051000000000000004,0.489,10.017999999999999,-0.014000000000000002,-0.049,0.011,34.814
0.047,0.499,10.025,-0.01,-0.046,0.011,34.807
0.035,0.5,10.079,-0.011,-0.047,0.01,34.797000000000004
0.034999999999999996,0.476,10.046,-0.011,-0.051000000000000004,0.012,34.791
0.038,0.481,10.055,-0.009,-0.049,0.013000000000000001,34.78
0.04,0.496,10.037,-0.008,-0.053000000000000005,0.01,34.772000000000006
0.034999999999999996,0.489,10.017,-0.009,-0.044,0.012,34.771
0.026000000000000002,0.495,10.042,-0.009,-0.053000000000000005,0.012,34.753
0.016,0.484,10.028,-0.015,-0.05,0.01,34.744
0.032,0.493,10.029,-0.01,-0.047,0.012,34.739999999999995
0.023,0.489,10.032,-0.008,-0.049,0.013000000000000001,34.738
0.018,0.497,10.049,-0.012,-0.048,0.011,34.732
0.008,0.49800000000000005,10.065999999999999,-0.016,-0.047,0.013000000000000001,34.730000000000004
0.027000000000000003,0.504,10.039,-0.01,-0.048,0.011,34.733
0.014000000000000002,0.49399999999999994,10.059999999999999,-0.007000000000000001,-0.047,0.014000000000000002,34.721
-0.040999999999999995,0.275,10.037,-0.027000000000000003,-0.044,0.014000000000000002,34.725
-0.054000000000000006,0.29500000000000004,10.046000000000001,-0.011,-0.05,0.012,34.721
-0.152,0.233,9.992,-0.006000000000000001,-0.053000000000000005,0.012,34.715999999999994
-0.046,0.269,10.025,-0.013000000000000001,-0.05,0.01,34.712
-0.044,0.258,10.03,-0.008,-0.048,0.012,34.713
-0.064,0.273,10.076,-0.012,-0.048,0.014000000000000002,34.703
-0.063,0.264,10.053,-0.009,-0.05,0.011,34.698
-0.05500000000000001,0.27,10.055,-0.008,-0.049,0.012,34.702
-0.062,0.277,10.067,-0.007000000000000001,-0.048,0.011,34.694
-0.028999999999999998,0.382,10.025,-0.007000000000000001,-0.043,0.013000000000000001,34.686
-0.081,0.581,10.024,-0.013000000000000001,-0.048,0.009,34.695
-0.033,0.475,10.051,-0.007000000000000001,-0.048,0.012,34.691
-0.030000000000000006,0.47000000000000003,10.039,-0.01,-0.046,0.011,34.686
-0.03,0.46699999999999997,10.032,-0.013000000000000001,-0.051000000000000004,0.011,34.684
-0.016999999999999998,0.472,10.02,-0.01,-0.052000000000000005,0.011,34.678
-0.022,0.47800000000000004,10.042,-0.009,-0.048,0.011,34.667
-0.013000000000000001,0.47400000000000003,10.028,-0.013000000000000001,-0.05,0.012,34.663
-0.032,0.472,10.067,-0.006,-0.048,0.013000000000000001,34.669
-0.033,0.472,10.034,-0.008,-0.047,0.013000000000000001,34.667
-0.015000000000000003,0.472,10.049,-0.008,-0.048,0.01,34.664
-0.032,0.469,10.047999999999998,-0.009,-0.052000000000000005,0.01,34.658
-0.028999999999999998,0.47300000000000003,10.050999999999998,-0.012,-0.051000000000000004,0.011,34.653999999999996
-0.013999999999999999,0.481,10.033,-0.008,-0.05,0.012,34.659
-0.027000000000000003,0.481,10.041,-0.01,-0.049,0.012,34.653
-0.016,0.47800000000000004,10.037,-0.009,-0.047,0.015,34.648
-0.020999999999999998,0.469,10.041,-0.01,-0.049,0.012,34.648
-0.031,0.469,10.058,-0.01,-0.049,0.012,34.653999999999996
-0.046,0.43200000000000005,10.026,-0.013000000000000001,-0.046,0.011,34.653
-0.041999999999999996,0.453,10.010000000000002,-0.008,-0.053000000000000005,0.011,34.646
-0.019999999999999997,0.45599999999999996,10.035,-0.01,-0.046,0.012,34.649
-0.032,0.34900000000000003,10.07,-0.01,-0.054000000000000006,0.012,34.638
-0.012,0.313,10.046,-0.013000000000000001,-0.049,0.011,34.644
-0.015,0.305,10.064,-0.01,-0.047,0.012,34.637
-0.045,0.356,10.031,-0.007000000000000001,-0.05600000000000001,0.019,34.632
-0.03,0.45099999999999996,10.057,-0.007000000000000001,-0.048,0.012,34.629
-0.034,0.44299999999999995,10.046000000000001,-0.012,-0.048,0.014000000000000002,34.631
-0.004000000000000001,0.445,10.067,-0.01,-0.046,0.01,34.633
-0.037,0.454,10.067,-0.009,-0.045,0.01,34.629000000000005
-0.029000000000000005,0.45499999999999996,10.054,-0.01,-0.046,0.01,34.618
-0.019,0.45999999999999996,10.072,-0.012,-0.047,0.01,34.626999999999995
-0.032,0.45499999999999996,10.042,-0.008,-0.048,0.01,34.617
-0.019,0.44699999999999995,10.032,-0.012,-0.049,0.011,34.631
-0.009000000000000001,0.457,10.034,-0.009,-0.05,0.011,34.625
-0.034999999999999996,0.45600000000000007,10.03,-0.005,-0.05,0.01,34.626999999999995
-0.018,0.45999999999999996,10.059999999999999,-0.011,-0.047,0.011,34.624
-0.043,0.45099999999999996,10.067,-0.009,-0.042,0.01,34.618
-0.071,0.441,10.035,-0.018999999999999996,-0.05700000000000001,0.03,34.618
0.028000000000000004,0.24500000000000002,10.059000000000001,-0.011,-0.05,0.01,34.626
0.037,0.242,10.051,-0.011,-0.046,0.01,34.633
0.025,0.242,10.055,-0.009,-0.05,0.01,34.631
0.03,0.236,10.068999999999999,-0.009,-0.049,0.01,34.629000000000005
0.016999999999999998,0.32,10.071000000000002,-0.005,-0.077,0.038,34.625
0.29100000000000004,-2.9810000000000003,9.414,-0.08199999999999999,-0.082,0.015000000000000003,34.628
0.384,-4.067,9.202,-0.0010000000000000002,-0.049,0.01,34.634
