accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature
-0.045,0.356,0.9,-0.007000000000000001,-0.05600000000000001,0.019,0.9
-0.03,0.45099999999999996,0.9,-0.007000000000000001,-0.048,0.012,0.9
-0.034,0.44299999999999995,0.9,-0.012,-0.048,0.014000000000000002,0.9
-0.004000000000000001,0.445,0.9,-0.01,-0.046,0.01,0.9
-0.037,0.454,0.9,-0.009,-0.045,0.01,0.9
-0.029000000000000005,0.45499999999999996,0.9,-0.01,-0.046,0.01,0.9
-0.019,0.45999999999999996,0.9,-0.012,-0.047,0.01,0.9
-0.032,0.45499999999999996,0.9,-0.008,-0.048,0.01,0.9
-0.019,0.44699999999999995,0.9,-0.012,-0.049,0.011,0.9
-0.009000000000000001,0.457,0.9,-0.009,-0.05,0.011,0.9
-0.034999999999999996,0.45600000000000007,0.9,-0.005,-0.05,0.01,0.9
-0.018,0.45999999999999996,0.9,-0.011,-0.047,0.011,0.9
-0.043,0.45099999999999996,0.9,-0.009,-0.042,0.01,0.9
-0.071,0.441,0.9,-0.018999999999999996,-0.05700000000000001,0.03,0.9
0.028000000000000004,0.24500000000000002,0.9,-0.011,-0.05,0.01,0.9
0.037,0.242,0.9,-0.011,-0.046,0.01,0.9
0.025,0.242,0.9,-0.009,-0.05,0.01,0.9
0.03,0.236,0.9,-0.009,-0.049,0.01,0.9
0.016999999999999998,0.32,0.9,-0.005,-0.077,0.038,0.9
0.29100000000000004,-0.9,0.9,-0.08199999999999999,-0.082,0.015000000000000003,0.9
0.384,-0.9,0.9,-0.0010000000000000002,-0.049,0.01,0.9
0.314,-0.9,0.9,0.011,-0.038,0.0029999999999999983,0.9
0.335,-0.9,0.9,-0.045,-0.05700000000000001,0.028000000000000004,0.9
0.33199999999999996,-0.9,0.9,0.077,-0.045,-0.019,0.9
0.33,-0.9,0.9,-0.008,-0.049,0.011,0.9
0.34,-0.9,0.9,-0.011111111111111112,-0.04888888888888889,0.012222222222222223,0.9
