timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature
2024-11-03 19:14:41,0.62,-0.11,10.15,-0.01,-0.05,0.01,32.24
2024-11-03 19:14:42,0.63,-0.12,10.16,-0.01,-0.05,0.01,32.26
2024-11-03 19:14:43,0.62,-0.11,10.16,-0.01,-0.05,0.01,32.27
2024-11-03 19:14:44,0.62,-0.11,10.16,-0.01,-0.05,0.01,32.27
2024-11-03 19:14:45,0.62,-0.09,10.14,-0.01,-0.05,0.01,32.27
2024-11-03 19:14:45,0.63,-0.09,10.17,-0.01,-0.05,0.01,32.28
2024-11-03 19:14:46,0.62,-0.1,10.13,-0.01,-0.05,0.01,32.28
2024-11-03 19:14:47,0.64,-0.11,10.12,-0.01,-0.05,0.01,32.32
2024-11-03 19:14:48,0.64,-0.11,10.12,-0.01,-0.05,0.01,32.32
2024-11-03 19:14:48,0.63,-0.1,10.15,-0.01,-0.05,0.01,32.31
2024-11-03 19:14:49,0.63,-0.1,10.15,-0.01,-0.05,0.01,32.31
2024-11-03 19:14:50,0.63,-0.11,10.17,-0.01,-0.05,0.01,32.32
2024-11-03 19:14:50,0.62,-0.1,10.16,-0.01,-0.05,0.01,32.32
2024-11-03 19:14:51,0.62,-0.1,10.16,-0.01,-0.05,0.01,32.32
2024-11-03 19:14:51,0.61,-0.11,10.12,-0.01,-0.05,0.01,32.33
2024-11-03 19:14:52,0.61,-0.11,10.12,-0.01,-0.05,0.01,32.33
2024-11-03 19:14:52,0.63,-0.11,10.13,-0.01,-0.05,0.01,32.31
2024-11-03 19:14:54,0.63,-0.09,10.13,-0.01,-0.05,0.01,32.35
2024-11-03 19:14:54,0.63,-0.09,10.13,-0.01,-0.05,0.01,32.35
2024-11-03 19:14:54,-1.68,-1.24,9.83,0.16,-0.4,0.68,32.36
2024-11-03 19:14:55,-1.68,-1.24,9.83,0.16,-0.4,0.68,32.36
2024-11-03 19:14:55,-6.36,0.64,7.09,-0.51,0.87,0.11,32.35
2024-11-03 19:14:56,-8.66,0.41,3.86,-0.39,-0.1,0.17,32.36
2024-11-03 19:14:57,-8.66,0.41,3.86,-0.39,-0.1,0.17,32.36
2024-11-03 19:14:58,-8.66,0.41,3.86,-0.39,-0.1,0.17,32.36
2024-11-03 19:15:00,-8.66,0.41,3.86,-0.39,-0.1,0.17,32.36
2024-11-03 19:15:01,-8.66,0.41,3.86,-0.39,-0.1,0.17,32.36
2024-11-03 19:15:02,-8.89,1.7,2.37,-0.09,-0.04,-0.15,32.4
2024-11-03 19:15:03,-8.89,1.7,2.37,-0.09,-0.04,-0.15,32.4
2024-11-03 19:15:03,-8.08,1.6,0.12,-0.72,0.35,-0.19,32.41
2024-11-03 19:15:04,-8.08,1.6,0.12,-0.72,0.35,-0.19,32.41
2024-11-03 19:15:04,-9.04,0.69,1.88,0.07,-0.02,0.06,32.42
2024-11-03 19:15:05,-9.15,0.45,2.15,-0.07,-0.01,0.03,32.42
2024-11-03 19:15:06,-9.15,0.45,2.15,-0.07,-0.01,0.03,32.42
2024-11-03 19:15:06,-9.16,0.25,1.51,-0.13,-0.03,0.03,32.43
2024-11-03 19:15:07,-9.16,0.25,1.51,-0.13,-0.03,0.03,32.43
2024-11-03 19:15:08,-9.03,0.32,1.71,0.01,-0.04,0.0,32.44
2024-11-03 19:15:08,-8.93,0.36,1.79,0.01,-0.03,-0.01,32.44
2024-11-03 19:15:09,-8.93,0.36,1.79,0.01,-0.03,-0.01,32.44
2024-11-03 19:15:10,-9.11,1.0,-1.51,0.27,0.55,0.07,32.44
2024-11-03 19:15:10,-9.11,1,-1.51,0.27,0.55,0.07,32.44
2024-11-03 19:15:11,-9.67,0.45,-1.95,0.12,0.29,-0.03,32.45
2024-11-03 19:15:11,-8.81,-0.27,-3.57,-3.23,1.89,-2.2,32.46
2024-11-03 19:15:12,-8.81,-0.27,-3.57,-3.23,1.89,-2.2,32.46
2024-11-03 19:15:13,-8.81,-0.27,-3.57,-3.23,1.89,-2.2,32.46
2024-11-03 19:15:13,-7.4,0.83,5.66,0.34,-0.41,-0.93,32.45
2024-11-03 19:15:13,-8.13,-0.67,5.42,-0.32,-0.93,0.24,32.46
2024-11-03 19:15:15,-8.13,-0.67,5.42,-0.32,-0.93,0.24,32.46
2024-11-03 19:15:15,-8.51,-1.12,3.9,0.17,0.21,-0.01,32.47
2024-11-03 19:15:15,-8.78,-0.68,3.51,0.03,0.13,-0.01,32.48
2024-11-03 19:15:16,-8.78,-0.68,3.51,0.03,0.13,-0.01,32.48
2024-11-03 19:15:17,-9.61,-0.18,1.58,-0.03,-0.08,0.03,32.5
2024-11-03 19:15:18,-9.61,-0.18,1.58,-0.03,-0.08,0.03,32.5
2024-11-03 19:15:18,-9.09,-0.65,1.61,-0.0,0.24,-0.1,32.5
2024-11-03 19:15:19,-9.12,-1.19,1.24,0.03,-0.24,0.03,32.5
2024-11-03 19:15:19,-9.12,-1.19,1.24,0.03,-0.24,0.03,32.5
2024-11-03 19:15:20,-9.43,-0.65,1.35,0.03,-0.11,-0.05,32.51
2024-11-03 19:15:21,-4.2,0.67,0.7,-1.4,0.66,2.25,32.52
2024-11-03 19:15:21,-4.2,0.67,0.7,-1.4,0.66,2.25,32.52
