timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature
2024-11-09 12:23:16,0.54,0,10.06,-0.01,-0.05,0.01,33.67
2024-11-09 12:23:17,0.54,0,10.06,-0.01,-0.05,0.01,33.67
2024-11-09 12:23:17,0.56,-0.0,10.06,-0.01,-0.05,0.01,33.66
2024-11-09 12:23:17,0.57,-0.01,10.03,-0.01,-0.05,0.01,33.67
2024-11-09 12:23:18,0.57,-0.01,10.03,-0.01,-0.05,0.01,33.67
2024-11-09 12:23:19,0.55,0.0,10.05,-0.01,-0.05,0.01,33.7
2024-11-09 12:23:19,0.55,0,10.05,-0.01,-0.05,0.01,33.7
2024-11-09 12:23:19,0.55,-0.0,10.06,-0.01,-0.05,0.01,33.68
2024-11-09 12:23:20,0.55,0,10.06,-0.01,-0.05,0.01,33.68
2024-11-09 12:23:20,0.57,-0.04,10.03,-0.01,-0.05,0.01,33.7
2024-11-09 12:23:21,0.57,-0.04,10.03,-0.01,-0.05,0.01,33.7
2024-11-09 12:23:21,0.55,-0.02,10.04,-0.01,-0.05,0.01,33.72
2024-11-09 12:23:22,0.55,-0.02,10.04,-0.01,-0.05,0.01,33.72
2024-11-09 12:23:23,0.55,-0.01,10.03,-0.01,-0.05,0.01,33.71
2024-11-09 12:23:23,0.55,-0.01,10.03,-0.01,-0.05,0.01,33.71
2024-11-09 12:23:23,0.56,-0.0,10.02,-0.01,-0.05,0.01,33.72
2024-11-09 12:23:24,0.56,0,10.02,-0.01,-0.05,0.01,33.72
2024-11-09 12:23:24,0.57,-0.01,10.03,-0.01,-0.05,0.01,33.72
2024-11-09 12:23:25,0.57,-0.01,10.03,-0.01,-0.05,0.01,33.72
2024-11-09 12:23:26,0.57,-0.02,10.04,-0.01,-0.05,0.01,33.72
2024-11-09 12:23:26,0.57,-0.02,10.04,-0.01,-0.05,0.01,33.72
2024-11-09 12:23:27,0.55,0.01,10.03,-0.01,-0.05,0.01,33.73
2024-11-09 12:23:27,0.55,0.01,10.03,-0.01,-0.05,0.01,33.73
2024-11-09 12:23:27,0.57,-0.01,10.04,-0.01,-0.05,0.01,33.74
2024-11-09 12:23:28,0.57,-0.01,10.04,-0.01,-0.05,0.01,33.74
2024-11-09 12:23:28,0.56,-0.02,10.05,-0.01,-0.05,0.01,33.74
2024-11-09 12:23:29,0.56,-0.02,10.05,-0.01,-0.05,0.01,33.74
2024-11-09 12:23:29,0.53,0.01,10.06,-0.01,-0.05,0.01,33.77
2024-11-09 12:23:30,0.53,0.01,10.06,-0.01,-0.05,0.01,33.77
2024-11-09 12:23:31,0.53,0.01,10.06,-0.01,-0.05,0.01,33.77
2024-11-09 12:23:32,0.53,0.01,10.06,-0.01,-0.05,0.01,33.77
2024-11-09 12:23:33,0.53,0.01,10.06,-0.01,-0.05,0.01,33.77
2024-11-09 12:23:33,0.55,-0.07,10.04,-0.01,-0.05,0.01,33.75
2024-11-09 12:23:33,0.54,-0.0,10.04,-0.01,-0.05,0.01,33.77
2024-11-09 12:23:34,0.54,0,10.04,-0.01,-0.05,0.01,33.77
2024-11-09 12:23:34,0.55,-0.0,10.04,-0.01,-0.05,0.01,33.77
2024-11-09 12:23:35,0.55,0,10.04,-0.01,-0.05,0.01,33.77
2024-11-09 12:23:35,0.54,-0.02,10.04,-0.01,-0.05,0.01,33.78
2024-11-09 12:23:36,0.54,-0.02,10.04,-0.01,-0.05,0.01,33.78
2024-11-09 12:23:36,0.57,-0.0,10.04,-0.01,-0.05,0.01,33.78
2024-11-09 12:23:37,0.57,0,10.04,-0.01,-0.05,0.01,33.78
2024-11-09 12:23:37,0.56,-0.03,10.06,-0.01,-0.05,0.01,33.79
2024-11-09 12:23:38,0.56,-0.03,10.06,-0.01,-0.05,0.01,33.79
2024-11-09 12:23:39,0.56,-0.01,10.03,-0.01,-0.05,0.01,33.81
2024-11-09 12:23:39,0.56,-0.01,10.03,-0.01,-0.05,0.01,33.81
2024-11-09 12:23:40,0.57,-0.01,10.02,-0.01,-0.05,0.01,33.82
2024-11-09 12:23:40,0.57,-0.01,10.02,-0.01,-0.05,0.01,33.82
2024-11-09 12:23:41,0.57,0.01,10.02,-0.01,-0.05,0.01,33.79
2024-11-09 12:23:41,0.57,0.01,10.02,-0.01,-0.05,0.01,33.79
2024-11-09 12:23:42,0.55,-0.02,10.02,-0.01,-0.05,0.01,33.81
2024-11-09 12:23:42,0.55,-0.02,10.02,-0.01,-0.05,0.01,33.81
2024-11-09 12:23:42,0.55,-0.01,10.02,-0.01,-0.05,0.01,33.82
2024-11-09 12:23:43,0.55,-0.01,10.02,-0.01,-0.05,0.01,33.82
2024-11-09 12:23:44,0.55,-0.01,10.02,-0.01,-0.05,0.01,33.82
2024-11-09 12:23:45,0.55,-0.01,10.02,-0.01,-0.05,0.01,33.82
2024-11-09 12:23:46,0.55,-0.01,10.02,-0.01,-0.05,0.01,33.82
2024-11-09 12:23:47,0.55,0.01,10.01,-0.01,-0.05,0.01,33.83
2024-11-09 12:23:47,-9.9,-0.6,-0.59,-0.02,0.33,0.01,33.84
2024-11-09 12:23:47,-9.9,-0.6,-0.59,-0.02,0.33,0.01,33.84
2024-11-09 12:23:48,-9.17,-0.54,-0.04,-0.01,-0.04,0.02,33.85
2024-11-09 12:23:48,-9.17,-0.54,-0.04,-0.01,-0.04,0.02,33.85
2024-11-09 12:23:49,-9.17,-0.54,0.01,-0.01,-0.05,0.01,33.83
2024-11-09 12:23:49,-9.17,-0.54,0.01,-0.01,-0.05,0.01,33.83
2024-11-09 12:23:50,-9.19,-0.52,0.03,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:50,-9.19,-0.52,0.03,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:51,-9.18,-0.51,0.02,-0.01,-0.05,0.01,33.86
2024-11-09 12:23:51,-9.18,-0.51,0.02,-0.01,-0.05,0.01,33.86
2024-11-09 12:23:52,-9.18,-0.55,0.02,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:52,-9.18,-0.55,0.02,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:53,-9.19,-0.54,0.04,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:53,-9.19,-0.54,0.04,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:54,-9.19,-0.54,0.04,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:55,-9.19,-0.54,0.04,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:56,-9.19,-0.54,0.04,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:57,-9.19,-0.54,0.04,-0.01,-0.05,0.01,33.87
2024-11-09 12:23:58,-9.19,-0.54,0.04,-0.01,-0.05,0.01,33.87
